beckbpp	1997	Smalltalk Best Practice Patterns
brachacook	1990	Mixin-Based Inheritance
cheneyopts	2014	Functional options for friendly APIs
coplienadv	1991	Advanced C++: Programming Styles and Idioms
effjava	2018	Effective Java, 3rd ed.
evansddd	2003	Domain-Driven Design: Tackling Complexity in the Heart of Software
fowlerdi	2004	Inversion of Control Containers and the Dependency Injection pattern
fowlerdsl	2010	Domain-Specific Languages
fowlerfluent	2005	FluentInterface (bliki)
fowlerpageobj	2013	PageObject (bliki)
goos	2009	Growing Object-Oriented Software, Guided by Tests
hswikismart	living	Smart constructors (Haskell wiki)
hudakdsl	1996	Building Domain-Specific Embedded Languages
ingalls	1986	A Simple Technique for Handling Multiple Polymorphism
lieberman	1986	Using Prototypical Objects to Implement Shared Behavior in Object-Oriented Systems
martinppp	2003	Agile Software Development: Principles, Patterns, and Practices
mcppidioms	living	More C++ Idioms
meszaros	2007	xUnit Test Patterns: Refactoring Test Code
meyerooc	1997	Object-Oriented Software Construction, 2nd ed.
moderncppdesign	2001	Modern C++ Design: Generic Programming and Design Patterns Applied
msimgui	living	Retained Mode Versus Immediate Mode (Win32 Learn)
muratoriimgui	2005	Immediate-Mode Graphical User Interfaces (2005)
nystrom	2014	Game Programming Patterns
osmani	living	Learning JavaScript Design Patterns, 2nd ed.
plopd3	1997	Pattern Languages of Program Design 3
plopd4	2000	Pattern Languages of Program Design 4
poeaa	2002	Patterns of Enterprise Application Architecture
posa1	1996	Pattern-Oriented Software Architecture Vol. 1: A System of Patterns
posa4	2007	Pattern-Oriented Software Architecture Vol. 4: A Pattern Language for Distributed Computin
quickcheck	2000	QuickCheck: A Lightweight Tool for Random Testing of Haskell Programs
refactoringguru	living	Refactoring.Guru — Design Patterns catalog
sourcemaking	living	SourceMaking — Design Patterns catalog
specpaper	1997	Specifications
sutternvi	2001	Virtuality
twinpattern	2000	Twin — A Design Pattern for Modeling Multiple Inheritance
welc	2004	Working Effectively with Legacy Code
abrashbb	1997	Michael Abrash's Graphics Programming Black Book, Special Edition
akidaudataflow	2015	The Dataflow Model: A Practical Approach to Balancing Correctness, Latency, and Cost in Ma
angularjsguide	living	AngularJS Developer Guide: Scopes ($digest and dirty checking)
apollodocs	living	Apollo Client documentation - Optimistic mutation results
apue	2013	Advanced Programming in the UNIX Environment, 3rd ed.
aronson97	1997	Dead Reckoning: Latency Hiding for Networked Games
bainomugisha13	2013	A Survey on Reactive Programming
bernier01	2001	Latency Compensating Methods in Client/Server In-game Protocol Design and Optimization
boncz05	2005	MonetDB/X100: Hyper-Pipelining Query Execution
cannon12	2012	The lag-fighting techniques behind GGPO's netcode
ciscojitter	living	Understanding Jitter in Packet Voice Networks (Cisco IOS Platforms)
