aapcs	2020	official-doc	Procedure Call Standard for the Arm Architecture (AAPCS)
aarenstrup	2015	book	Managing Model-Based Design
abas	1999	report	Attribute-Based Architectural Styles (ABAS)
abiaa	living	official-doc	ARM Application Binary Interface (ABI-AA) suite
abowd	1995	paper	Formalizing Style to Understand Descriptions of Software Architecture
accelerate	2018	book	Accelerate: The Science of Lean Software and DevOps
acme	1997	paper	Acme: An Architecture Description Interchange Language
agilemanifesto	2001	other	Manifesto for Agile Software Development
alalfi	2012	paper	Models are Code Too: Near-miss Clone Detection for Simulink Models
aldini	2010	book	A Process Algebraic Approach to Software Architecture Design
alma	2004	paper	Architecture-level modifiability analysis (ALMA)
amos	2020	book	Hands-On RTOS with Microcontrollers (FreeRTOS, STM32, SEGGER)
an4989	UNRESOLVED	report	AN4989 STM32 microcontroller debug toolbox
angelov	2012	paper	A framework for analysis and design of software reference architectures
arc42	living	guide	arc42 — architecture documentation template
arinc653	living	standard	ARINC 653 — Avionics Application Standard Software Interface (Parts 0-5, APEX API)
atam	2000	report	ATAM: Method for Architecture Evaluation
autosaradaptive	living	standard	AUTOSAR Adaptive Platform — Explanation of Adaptive and Classic Platform Software Architectural Deci
autosarblockset	living	official-doc	AUTOSAR Blockset documentation + Software Architecture Modeling
autosarclassic	living	standard	AUTOSAR Classic Platform — Layered Software Architecture
autosarcpp14	2018	standard	Guidelines for the use of the C++14 language in critical and safety-related systems (AUTOSAR C++14)
avizienis	UNRESOLVED	paper	Basic Concepts and Taxonomy of Dependable and Secure Computing (dependability taxonomy)
babar04	2004	paper	A Framework for Classifying and Comparing Software Architecture Evaluation Methods
bacchellibird	2013	paper	Expectations, Outcomes, and Challenges of Modern Code Review
ball	UNRESOLVED	book	Embedded Microprocessor Systems: Real World Design
barbacci	1995	report	Quality Attributes
barnes	2014	paper	Evolution Styles: foundations and models for software architecture evolution
barrbugs	UNRESOLVED	blog	Top 10 Causes of Nasty Firmware Bugs
barrc	2018	standard	Embedded C Coding Standard (BARR-C:2018)
barrmassa	2007	book	Programming Embedded Systems: With C and GNU Development Tools, 2nd ed.
barrycrowley	UNRESOLVED	book	Modern Embedded Computing
bck	2021	book	Software Architecture in Practice, 4th ed.
