id	year	title	authors	ident	corpora
aapcs	2020	Procedure Call Standard for the Arm Architecture (AAPCS)	Arm Ltd (ABI-AA)	github.com/ARM-software/abi-aa	emb-ops
aarenstrup	2015	Managing Model-Based Design	R. Aarenstrup	The MathWorks, ISBN 978-1512036138	simulink
abas	1999	Attribute-Based Architectural Styles (ABAS)	M. Klein & R. Kazman	SEI CMU/SEI-99-TR-022	swa-science
abiaa	living	ARM Application Binary Interface (ABI-AA) suite	Arm Ltd	github.com/ARM-software/abi-aa	emb-ops
abowd	1995	Formalizing Style to Understand Descriptions of Software Architecture	G.D. Abowd, R. Allen & D. Garlan	ACM TOSEM 4(4):319-364	swa-science
accelerate	2018	Accelerate: The Science of Lean Software and DevOps	N. Forsgren, J. Humble & G. Kim	ISBN 978-1-942788-33-1	swe-process
acme	1997	Acme: An Architecture Description Interchange Language	D. Garlan, R.T. Monroe & D. Wile	Proc. CASCON 97 pp.169-183	swa-science
agilemanifesto	2001	Manifesto for Agile Software Development	Beck, Fowler, Cunningham, Martin, Schwaber, Sutherland et al. (17 signatories)	agilemanifesto.org	swe-process
alalfi	2012	Models are Code Too: Near-miss Clone Detection for Simulink Models	M. Alalfi, J. Cordy, T. Dean, M. Stephan & A. Stevenson	ICSM 2012 pp.295-304	simulink
aldini	2010	A Process Algebraic Approach to Software Architecture Design	A. Aldini, M. Bernardo & F. Corradini	Springer	swa-science
alma	2004	Architecture-level modifiability analysis (ALMA)	P. Bengtsson, N. Lassing, J. Bosch & H. van Vliet	JSS 69(1-2):129-147	swa-science
amos	2020	Hands-On RTOS with Microcontrollers (FreeRTOS, STM32, SEGGER)	B. Amos	Packt	emb-cpp
an4989	UNRESOLVED	AN4989 STM32 microcontroller debug toolbox	STMicroelectronics		emb-ops
angelov	2012	A framework for analysis and design of software reference architectures	S. Angelov, P. Grefen & D. Greefhorst	IST 54(4):417-431	swa-science
arc42	living	arc42 — architecture documentation template	G. Starke & P. Hruschka	arc42.org	swe-process
arinc653	living	ARINC 653 — Avionics Application Standard Software Interface (Parts 0-5, APEX API)	AEEC/ARINC (SAE ITC)		emb-arch
atam	2000	ATAM: Method for Architecture Evaluation	R. Kazman, M. Klein & P. Clements	SEI CMU/SEI-2000-TR-004	swa-science
autosaradaptive	living	AUTOSAR Adaptive Platform — Explanation of Adaptive and Classic Platform Software Architectural Decisions	AUTOSAR Foundation		emb-arch
autosarblockset	living	AUTOSAR Blockset documentation + Software Architecture Modeling	MathWorks		simulink
autosarclassic	living	AUTOSAR Classic Platform — Layered Software Architecture	AUTOSAR		emb-arch
autosarcpp14	2018	Guidelines for the use of the C++14 language in critical and safety-related systems (AUTOSAR C++14)	AUTOSAR		emb-cpp,swe-process
avizienis	UNRESOLVED	Basic Concepts and Taxonomy of Dependable and Secure Computing (dependability taxonomy)	A. Avizienis, J.-C. Laprie & B. Randell		emb-arch
babar04	2004	A Framework for Classifying and Comparing Software Architecture Evaluation Methods	M.A. Babar, L. Zhu & R. Jeffery	Proc. ASWEC 2004 pp.309-318	swa-science
bacchellibird	2013	Expectations, Outcomes, and Challenges of Modern Code Review	A. Bacchelli & C. Bird	ICSE 2013 pp.712-721, DOI 10.1109/ICSE.2013.6606617	emb-c,swe-process
ball	UNRESOLVED	Embedded Microprocessor Systems: Real World Design	S. Ball		emb-arch
barbacci	1995	Quality Attributes	M. Barbacci, M.H. Klein, T.A. Longstaff & C.B. Weinstock	SEI CMU/SEI-95-TR-021	swa-science
barnes	2014	Evolution Styles: foundations and models for software architecture evolution	J.M. Barnes, D. Garlan & B. Schmerl	SoSyM 13(2):649-678	swa-science
barrbugs	UNRESOLVED	Top 10 Causes of Nasty Firmware Bugs	M. Barr		emb-c
barrc	2018	Embedded C Coding Standard (BARR-C:2018)	M. Barr / Barr Group	ISBN 978-1-7211-2798-6	emb-arch,emb-c,swe-process
barrmassa	2007	Programming Embedded Systems: With C and GNU Development Tools, 2nd ed.	M. Barr & A. Massa	OReilly, ISBN 978-0-596-00983-0	emb-arch,emb-ops
barrycrowley	UNRESOLVED	Modern Embedded Computing	P. Barry & P. Crowley		emb-arch
bck	2021	Software Architecture in Practice, 4th ed.	L. Bass, P. Clements & R. Kazman	Addison-Wesley SEI, ISBN 978-0-13-688609-9	swa-science,emb-arch
beningodesign	2022	Embedded Software Design: A Practical Approach to Architecture, Processes, and Coding Techniques	J. Beningo	Apress, ISBN 978-1-4842-8278-6	emb-arch,emb-c
beningofw	2017	Reusable Firmware Development: A Practical Approach to APIs, HALs and Drivers	J. Beningo	Apress, ISBN 978-1-4842-3296-5	emb-arch,emb-c
berger	UNRESOLVED	Embedded Systems Design	A. Berger		emb-arch
bertolotti	UNRESOLVED	Embedded Software Development: The Open-Source Approach	I.C. Bertolotti & T. Hu		emb-arch
bestpractices	living	Applying Best Practices for Building Large Simulink Models	MathWorks		simulink
binutilsblog	living	GNU Binutils: the ELF Swiss Army Knife	Memfault Interrupt blog	interrupt.memfault.com	emb-ops
black	living	Black — The Uncompromising Code Formatter	Python Software Foundation	black.readthedocs.io	swe-process
blanchette	2008	The Little Manual of API Design	J. Blanchette	Trolltech/Nokia	emb-c
bloaty	living	Bloaty McBloatface binary-size profiler	J. Haberman / Google	github.com/google/bloaty	emb-cpp,emb-ops
bloch	2006	How to Design a Good API and Why it Matters	J. Bloch	OOPSLA 2006 Companion, DOI 10.1145/1176617.1176622	emb-c
boll	2021	Characteristics, potentials, and limitations of open-source Simulink projects for empirical research	A. Boll, F. Brokhausen, T. Amorim, T. Kehrer & A. Vogelsang	SoSyM 20:2111-2130	simulink
boogerdmoonen	2009	Assessing the Value of Coding Standards: An Empirical Study / Evaluating the Relation Between Coding Standard Violations and Faults	C. Boogerd & L. Moonen	ICSM 2008; 2009	emb-c,swe-process
boostoutcome	living	Boost.Outcome documentation (incl. experimental status_code)	N. Douglas		emb-cpp
boostsml	living	Boost.SML — C++14 State Machine library	K. Jusiak	github.com/boost-ext/sml	emb-cpp
bootlin	living	Bootlin embedded-Linux training slides	Bootlin		emb-arch,emb-ops
bosch00	2000	Design and Use of Software Architectures: Adopting and Evolving a Product-Line Approach	J. Bosch	Addison-Wesley	swa-science
boschmolin	1999	Software architecture design: evaluation and transformation	J. Bosch & P. Molin	Proc. IEEE ECBS 99	swa-science
breathe	living	Breathe (Doxygen-XML to Sphinx bridge)	breathe-doc project	breathe-doc.org	emb-c,swe-process
breivold	2012	A Systematic Review of Software Architecture Evolution Research	H.P. Breivold, I. Crnkovic & M. Larsson	IST 54(1):16-40	swa-science
broy	2006	Challenges in automotive software engineering	M. Broy	ICSE 2006	emb-arch
buildtool	2022	MATLAB build tool (buildtool)	MathWorks		simulink,swe-process
burge	2008	Rationale-Based Software Engineering	J.E. Burge, J.M. Carroll, R. McCall & I. Mistrik	Springer	swa-science
burnswellings	2009	Real-Time Systems and Programming Languages, 4th ed.	A. Burns & A. Wellings	Addison-Wesley, ISBN 978-0-321-41745-9	emb-arch
busobj	living	Simulink.Bus objects documentation	MathWorks		simulink
buttazzo	2023	Hard Real-Time Computing Systems: Predictable Scheduling Algorithms and Applications	G. Buttazzo	Springer, ISBN 978-3-031-45409-7	emb-arch
c4model	living	The C4 model for visualising software architecture	S. Brown	c4model.com	swe-process
caissetalk	UNRESOLVED	Modern C++ in an Embedded World	M. Caisse		emb-cpp
